assets.artemis_id,Custom.metrics,Count of assets.symbol
aurory,30D_PRICE_CHG_PCT,1
aurory,30D_VOLUME,1
aurory,7D_PRICE_CHG_PCT,1
aurory,ATH,1
aurory,ATH_CHG_PCT,1
aurory,ATH_DATE,1
aurory,ATL,1
aurory,ATL_CHG_PCT,1
aurory,ATL_DATE,1
aurory,CIRC_SUPPLY,1
aurory,CMC,1
aurory,FDMC,1
aurory,FDV,1
aurory,MAX_SUPPLY,1
aurory,MC,1
aurory,NEW_TWITTER_FOLLOWERS,1
aurory,PRICE,1
aurory,TOT_SUPPLY,1
aurory,TWITTER_FOLLOWERS,1
avalanche,24H_MC_CHG,1
avalanche,24H_MC_CHG_PCT,1
avalanche,24H_PRICE_CHG,1
avalanche,24H_PRICE_CHG_PCT,1
avalanche,24H_PRICE_HIGH,1
avalanche,24H_PRICE_LOW,1
avalanche,24H_VOLUME,1
avalanche,30D_PRICE_CHG_PCT,1
avalanche,30D_VOLUME,1
avalanche,7D_PRICE_CHG_PCT,1
avalanche,ATH,1
avalanche,ATH_CHG_PCT,1
avalanche,ATH_DATE,1
avalanche,ATL,1
avalanche,ATL_CHG_PCT,1
avalanche,ATL_DATE,1
avalanche,CIRC_SUPPLY,1
avalanche,CMC,1
avalanche,DAILY_TXNS,1
avalanche,DAU,1
avalanche,DAU_OVER_100,1
avalanche,DEX_VOLUMES,1
avalanche,FDMC,1
avalanche,FDV,1
avalanche,FEES,1
avalanche,MAX_SUPPLY,1
avalanche,MC,1
avalanche,NEW_TWITTER_FOLLOWERS,1
avalanche,PRICE,1
avalanche,REVENUE,1
avalanche,STABLECOIN_GROWTH,1
avalanche,STABLECOIN_MC,1
avalanche,TOT_SUPPLY,1
avalanche,TVL,1
avalanche,TWITTER_FOLLOWERS,1
avalanche,WEEKLY_COMMITS_CORE,1
avalanche,WEEKLY_COMMITS_SUB,1
avalanche,WEEKLY_CONTRACTS_DEPLOYED,1
avalanche,WEEKLY_DEVS_CORE,1
avalanche,WEEKLY_DEVS_SUB,1
avalanche,WEEKLY_UNIQUE_CONTRACT_DEPLOYERS,1
avalanche_bridge,BRIDGE_DAU,1
avalanche_bridge,BRIDGE_VOLUME,1
avalanche_bridge,CUMULATIVE_NET_FLOW,1
avalanche_bridge,INFLOW,1
avalanche_bridge,OUTFLOW,1
avalanche_bridge,TVL,1
axelar,24H_MC_CHG,1
axelar,24H_MC_CHG_PCT,1
axelar,24H_PRICE_CHG,1
axelar,24H_PRICE_CHG_PCT,1
axelar,24H_PRICE_HIGH,1
axelar,24H_PRICE_LOW,1
axelar,24H_VOLUME,1
axelar,30D_PRICE_CHG_PCT,1
axelar,30D_VOLUME,1
